primary_key,event_time,less_than_1h_ocean,inland,island,near_bay,near_ocean,median_house_value,median_house_age,total_households,bedrooms_per_household,encoded_locality
Arbors at Oakshade,2024-01-27 08:14:27.928568064,0,1,0,0,0,194300.0,10-19,636,0.9811320754716981,974.0
Arden Oaks,2024-01-27 08:14:27.928568064,0,1,0,0,0,288833.3333333333,30-39,281,1.02092688125475,595.0
Arden Oaks Vista,2024-01-27 08:14:27.928568064,0,1,0,0,0,133300.0,30-39,292,0.948472406714165,595.0
Arden Park Vista,2024-01-27 08:14:27.928568064,0,1,0,0,0,164116.66666666666,30-39,355,1.0360853386228441,595.0
Ardenwood,2024-01-27 08:14:27.928568064,0,0,0,1,0,278200.0,0-9,1797,1.011686143572621,12.0
Arlanza,2024-01-27 08:14:27.928568064,0,1,0,0,0,107500.0,20-29,520,1.0325466882532806,551.0
Arleta,2024-01-27 08:14:27.928568064,1,0,0,0,0,176779.16666666666,30-39,309,1.0047265018762168,254.0
Arlington,2024-01-27 08:14:27.928568064,0,1,0,0,0,123916.66666666667,20-29,684,1.05481912481293,459.0
Arlington Heights,2024-01-27 08:14:27.928568064,0,1,0,0,0,192575.0,20-29,387,0.9344174856472531,551.0
Arlington South,2024-01-27 08:14:27.928568064,0,1,0,0,0,129700.0,20-29,1330,1.0676764966324095,551.0
Arrowhead,2024-01-27 08:14:27.928568064,0,1,0,0,0,99566.66666666667,40-49,376,1.01603902342037,629.0
Arrowhead Farms,2024-01-27 08:14:27.928568064,0,1,0,0,0,88400.0,20-29,504,1.177835423838987,352.5
Arrowview,2024-01-27 08:14:27.928568064,0,1,0,0,0,90816.66666666667,40-49,292,1.0747414478181283,629.0
Arroyo Viejo,2024-01-27 08:14:27.928568064,0,0,0,1,0,95640.0,40-49,310,1.0708531173031572,1.0
Artcraft Manor,2024-01-27 08:14:27.928568064,0,0,0,0,1,203900.0,40-49,543,0.9779005524861878,275.0
Artesia Pilar,2024-01-27 08:14:27.928568064,1,0,0,0,0,161720.0,30-39,464,1.0099999669513895,492.0
Ashbury Heights,2024-01-27 08:14:27.928568064,0,0,0,1,0,487500.5,40-49,636,0.9978870660111019,713.0
Assumption Parish,2024-01-27 08:14:27.928568064,0,0,0,1,0,210800.0,40-49,190,1.0100806451612905,4.0
Atwood,2024-01-27 08:14:27.928568064,1,0,0,0,0,243900.0,0-9,1423,1.0182712579058328,489.0
August,2024-01-27 08:14:27.928568064,0,1,0,0,0,60200.0,30-39,453,1.0599201372358646,715.0
Autumnwood,2024-01-27 08:14:27.928568064,0,1,0,0,0,125500.0,20-29,440,0.9818181818181818,595.0
Avalon,2024-01-27 08:14:27.928568064,0,0,0,0,1,283300.0,30-39,1162,1.0160679751862738,748.0
Baker Street,2024-01-27 08:14:27.928568064,0,1,0,0,0,81800.0,40-49,389,1.0011921329531164,196.0
Bakersfield Country Club,2024-01-27 08:14:27.928568064,0,1,0,0,0,140066.66666666666,20-29,531,1.05627219850991,196.0
Balboa Park,2024-01-27 08:14:27.928568064,0,0,0,0,1,176466.66666666666,30-39,583,1.0936144625772155,671.0
Balboa Peninsula,2024-01-27 08:14:27.928568064,1,0,0,0,0,479040.7,30-39,351,1.1879079754730824,510.0
Baldwin Hills,2024-01-27 08:14:27.928568064,1,0,0,0,0,342650.0,30-39,676,0.49834162520729686,254.0
Bancroft Business,2024-01-27 08:14:27.928568064,0,0,0,1,0,102220.0,40-49,357,1.1027836124399624,1.0
Bankers Hill,2024-01-27 08:14:27.928568064,0,0,0,0,1,265512.5,40-49,446,1.093750078957817,671.0
Barrett Meadows,2024-01-27 08:14:27.928568064,0,1,0,0,0,157700.0,20-29,453,1.1015452538631347,596.0
Barrio Logan,2024-01-27 08:14:27.928568064,0,0,0,0,1,104240.0,40-49,191,1.159083906701681,671.0
Barron Park,2024-01-27 08:14:27.928568064,0,0,0,1,0,439000.0,30-39,662,0.9975348366504917,763.0
Bartlett,2024-01-27 08:14:27.928568064,0,0,0,1,0,137240.0,40-49,373,1.05784885355628,1.0
Bartolo Square North,2024-01-27 08:14:27.928568064,0,0,0,0,1,180500.0,30-39,543,1.0165745856353592,963.0
Bartolo Square South,2024-01-27 08:14:27.928568064,0,0,0,0,1,181100.0,30-39,669,1.0119581464872944,963.0
Barton,2024-01-27 08:14:27.928568064,0,1,0,0,0,129400.0,10-19,472,1.103813559322034,633.0
Bascom - Forest,2024-01-27 08:14:27.928568064,1,0,0,0,0,272300.0,30-39,318,1.0057361840602876,785.0
Bassett,2024-01-27 08:14:27.928568064,1,0,0,0,0,158355.55555555556,30-39,482,0.9093520230620753,293.6666666666667
Bay Terraces,2024-01-27 08:14:27.928568064,0,0,0,0,1,145245.0,10-19,431,1.0363597815657566,671.0
Bay-O-Vista,2024-01-27 08:14:27.928568064,0,0,0,1,0,302000.0,30-39,335,0.974515868345436,4.0
Bayview,2024-01-27 08:14:27.928568064,0,0,0,1,0,194600.0,30-39,396,1.0572705266656075,713.0
Baywood - Aragon,2024-01-27 08:14:27.928568064,0,0,0,0,1,500000.0,30-39,534,1.0251547348245198,753.0
Baywood Park,2024-01-27 08:14:27.928568064,0,0,0,0,1,464600.0,20-29,458,1.0502183406113537,753.0
Bear Creek,2024-01-27 08:14:27.928568064,0,1,0,0,0,143387.5,10-19,369,1.022985848417396,715.0
Bel Air,2024-01-27 08:14:27.928568064,1,0,0,0,0,472386.4285714286,30-39,549,1.0693174999780346,402.0
Belding Woods,2024-01-27 08:14:27.928568064,0,0,0,1,0,107083.33333333333,40-49,405,1.038095638329147,87.0
Bella Parkway,2024-01-27 08:14:27.928568064,0,1,0,0,0,109300.0,30-39,771,1.0220492866407263,595.0
Bella Vista,2024-01-27 08:14:27.928568064,0,0,0,1,0,154642.85714285713,50-59,388,1.062584656233292,1.0
Belle Haven,2024-01-27 08:14:27.928568064,0,0,0,1,0,157300.0,30-39,457,1.048140043763676,761.0
Belmont Heights,2024-01-27 08:14:27.928568064,0,0,0,0,1,347900.0,40-49,680,1.0594405200671604,275.0
Belmont Park,2024-01-27 08:14:27.928568064,0,0,0,0,1,397750.0,40-49,539,1.0666038599724594,275.0
Belmont Shore,2024-01-27 08:14:27.928568064,0,0,0,0,1,419385.85714285716,40-49,566,1.0602311509791165,275.0
Belvedere Tiburon,2024-01-27 08:14:27.928568064,0,0,0,1,0,491586.5714285714,20-29,749,1.0815470820968383,348.85714285714283
Benton Park,2024-01-27 08:14:27.928568064,0,1,0,0,0,71366.66666666667,30-39,433,1.061598760716408,196.0
Benton Tract,2024-01-27 08:14:27.928568064,0,1,0,0,0,66500.0,20-29,460,1.0630434782608695,815.0
Beresford Park,2024-01-27 08:14:27.928568064,0,0,0,0,1,387342.85714285716,40-49,379,1.0264501427231225,753.0
Berkeley Hills,2024-01-27 08:14:27.928568064,0,0,0,1,0,351485.71428571426,40-49,359,1.033397741027689,0.0
Berkeley Marina,2024-01-27 08:14:27.928568064,0,0,0,1,0,350000.0,30-39,924,1.0064935064935066,0.0
Bernal Heights,2024-01-27 08:14:27.928568064,0,0,0,1,0,267882.35294117645,40-49,353,1.052152502845207,713.0
Berryessa,2024-01-27 08:14:27.928568064,1,0,0,0,0,288494.17647058825,10-19,481,1.03181957721476,785.0
Beverly Glen,2024-01-27 08:14:27.928568064,1,0,0,0,0,500000.0,20-29,197,1.015228426395939,258.0
Beverlywood,2024-01-27 08:14:27.928568064,1,0,0,0,0,449631.8125,40-49,363,1.0036043199844078,254.0
Big Canyon,2024-01-27 08:14:27.928568064,1,0,0,0,0,500000.0,10-19,228,0.5018248175182481,510.0
Bine't Estates,2024-01-27 08:14:27.928568064,0,1,0,0,0,140600.0,10-19,454,0.9647577092511013,531.0
Bird Rock,2024-01-27 08:14:27.928568064,0,0,0,0,1,281633.3333333333,30-39,426,1.0594875221475333,671.0
Birdland,2024-01-27 08:14:27.928568064,0,0,0,0,1,133500.0,30-39,410,1.032413242535003,671.0
Birdland Neighbors,2024-01-27 08:14:27.928568064,1,0,0,0,0,346266.6666666667,20-29,485,0.9837171007154225,790.0
Birds,2024-01-27 08:14:27.928568064,0,0,0,1,0,235760.0,10-19,354,1.0275528971866712,85.0
Bixby Hill,2024-01-27 08:14:27.928568064,1,0,0,0,0,500000.0,10-19,564,1.0053191489361701,275.0
Bixby Knolls,2024-01-27 08:14:27.928568064,0,0,0,0,1,278740.0,40-49,444,1.0396047453480548,275.0
Bixby North,2024-01-27 08:14:27.928568064,0,0,0,0,1,253133.33333333334,30-39,479,1.0428705240782297,275.0
Black Mountain Ranch,2024-01-27 08:14:27.928568064,0,0,0,0,1,450400.0,0-9,1696,1.34375,671.0
Blackstock North,2024-01-27 08:14:27.928568064,0,0,0,0,1,183140.0,30-39,382,1.0100231055674562,963.0
Blacow,2024-01-27 08:14:27.928568064,1,0,0,0,0,240600.0,20-29,670,1.0302015957185822,12.0
Blair Park,2024-01-27 08:14:27.928568064,0,1,0,0,0,109100.0,20-29,769,1.0620745322502603,629.0
Blairsden-Graeagle,2024-01-27 08:14:27.928568064,0,1,0,0,0,119666.66666666667,10-19,237,2.2281967109296366,231.0
Blanco - Culver Crest,2024-01-27 08:14:27.928568064,1,0,0,0,0,412400.0,30-39,306,1.0612859614968635,269.0
Blossom Crest,2024-01-27 08:14:27.928568064,1,0,0,0,0,299866.6666666667,20-29,303,1.0220836261944652,785.0
Blossom Valley,2024-01-27 08:14:27.928568064,0,0,0,1,0,441000.25,30-39,322,1.0104482504286976,789.0
Blue Hills,2024-01-27 08:14:27.928568064,1,0,0,0,0,500000.0,20-29,425,1.0305882352941176,794.0
Bluff Heights,2024-01-27 08:14:27.928568064,0,0,0,0,1,299440.0,30-39,799,1.048947868052634,275.0
Bohemian Village,2024-01-27 08:14:27.928568064,0,1,0,0,0,97500.0,20-29,736,1.0366847826086956,595.0
Bonita - 24th,2024-01-27 08:14:27.928568064,1,0,0,0,0,181250.0,30-39,1036,1.0809825593328517,785.0
Bonnierae,2024-01-27 08:14:27.928568064,0,1,0,0,0,143200.0,10-19,446,1.043170884398247,603.0
Bonnyview,2024-01-27 08:14:27.928568064,0,1,0,0,0,81100.0,30-39,303,1.0421888053467,815.0
Boulevard Park,2024-01-27 08:14:27.928568064,0,1,0,0,0,132475.0,40-49,500,1.116982729298337,595.0
Braeburn Heights,2024-01-27 08:14:27.928568064,0,1,0,0,0,140850.0,30-39,275,1.0630076445293835,595.0
Branham/ Jarvis,2024-01-27 08:14:27.928568064,1,0,0,0,0,247500.0,20-29,414,1.0381152313821636,785.0
Branstetter,2024-01-27 08:14:27.928568064,0,1,0,0,0,72000.0,20-29,208,1.1778846153846154,815.0
Brentwood,2024-01-27 08:14:27.928568064,1,0,0,0,0,500000.0,40-49,477,1.0632102308165576,254.0
Breslauer's Addition,2024-01-27 08:14:27.928568064,0,1,0,0,0,91200.0,40-49,594,1.048073969041711,815.0
Bressi Ranch,2024-01-27 08:14:27.928568064,0,0,0,0,1,255800.0,0-9,1323,1.0861678004535147,691.0
Brewer Subdivision,2024-01-27 08:14:27.928568064,0,0,0,0,1,500000.0,30-39,391,1.0,754.0
Brigadoon,2024-01-27 08:14:27.928568064,1,0,0,0,0,187366.66666666666,10-19,434,1.0240900442524643,785.0
Brighton Station,2024-01-27 08:14:27.928568064,0,1,0,0,0,186300.0,0-9,763,1.0144167758846658,61.0
Briones,2024-01-27 08:14:27.928568064,0,0,0,1,0,310700.0,0-9,911,1.0559824368825466,76.0
Bristol Manor,2024-01-27 08:14:27.928568064,1,0,0,0,0,168800.0,30-39,429,1.0683955270590437,492.0
Bristol Warner,2024-01-27 08:14:27.928568064,1,0,0,0,0,190650.0,20-29,676,1.0340918678228264,492.0
Broadmoor,2024-01-27 08:14:27.928568064,0,0,0,1,0,160100.0,40-49,302,1.000791800071079,4.0
Broadway - Palmhaven,2024-01-27 08:14:27.928568064,1,0,0,0,0,281100.0,50-59,443,0.9729119638826185,785.0
Broadway Heights,2024-01-27 08:14:27.928568064,0,0,0,0,1,126700.0,30-39,582,1.063573883161512,671.0
Brockmont,2024-01-27 08:14:27.928568064,1,0,0,0,0,500000.0,30-39,2017,1.029747149231532,260.0
Brookside,2024-01-27 08:14:27.928568064,0,1,0,0,0,134900.0,0-9,350,1.0857142857142856,715.0
Brooktree,2024-01-27 08:14:27.928568064,1,0,0,0,0,257400.0,0-9,1438,0.0,785.0
Brookwood Terrace,2024-01-27 08:14:27.928568064,1,0,0,0,0,308000.0,40-49,302,0.9878291355207537,785.0
Brownsville,2024-01-27 08:14:27.928568064,0,1,0,0,0,77100.0,10-19,114,1.3157894736842106,76.0
Bryce Canyon North,2024-01-27 08:14:27.928568064,0,0,0,0,1,187600.0,30-39,483,0.9668737060041408,963.0
Buena Vista,2024-01-27 08:14:27.928568064,1,0,0,0,0,185533.33333333334,30-39,451,1.0490914016600854,785.0
Buena Vista Meadows,2024-01-27 08:14:27.928568064,0,1,0,0,0,169600.0,20-29,550,1.010909090909091,602.0
Bungalow Heaven,2024-01-27 08:14:27.928568064,1,0,0,0,0,207900.0,40-49,470,1.0495022858739584,261.0
Burbank,2024-01-27 08:14:27.928568064,0,0,0,1,0,155240.0,30-39,387,1.0445514716701734,9.0
Burlingame Gate,2024-01-27 08:14:27.928568064,0,0,0,0,1,426900.0,40-49,744,1.07319086807746,752.0
Burlingame Hills,2024-01-27 08:14:27.928568064,0,0,0,0,1,475000.5,30-39,484,1.0236311069152702,752.0
Burlingame Park,2024-01-27 08:14:27.928568064,0,0,0,0,1,404100.0,40-49,632,1.0513625826306146,752.0
Butte,2024-01-27 08:14:27.928568064,0,0,0,0,1,165600.0,10-19,181,1.1988950276243093,160.0
Byer-knight,2024-01-27 08:14:27.928568064,0,1,0,0,0,106300.0,10-19,1248,1.0280448717948718,595.0
Cajon,2024-01-27 08:14:27.928568064,0,1,0,0,0,88300.0,30-39,778,1.088688946015424,629.0
Cal-Gisler,2024-01-27 08:14:27.928568064,0,0,0,0,1,172400.0,30-39,736,1.0638586956521738,963.0
Caliente,2024-01-27 08:14:27.928568064,0,1,0,0,0,78700.0,10-19,361,1.7670192370182622,76.0
California Heights,2024-01-27 08:14:27.928568064,0,0,0,0,1,239720.0,40-49,413,1.0467155894059035,275.0
Cambrian,2024-01-27 08:14:27.928568064,1,0,0,0,0,286041.6666666667,20-29,469,1.0274953979944892,786.75
Cambrian Community,2024-01-27 08:14:27.928568064,1,0,0,0,0,271400.0,30-39,533,1.0284146888149808,785.0
Cameron Hills,2024-01-27 08:14:27.928568064,1,0,0,0,0,259600.0,30-39,304,1.125,12.0
Cameron Ranch,2024-01-27 08:14:27.928568064,0,1,0,0,0,199000.0,20-29,253,0.9723320158102767,596.0
Campanil,2024-01-27 08:14:27.928568064,0,0,0,0,1,423100.5,30-39,355,1.006457691964032,772.0
Campolindo,2024-01-27 08:14:27.928568064,0,0,0,1,0,426100.0,10-19,229,0.9606986899563319,78.0
Campus Commons,2024-01-27 08:14:27.928568064,0,1,0,0,0,161400.0,30-39,342,0.9883040935672515,595.0
Candlestick,2024-01-27 08:14:27.928568064,1,0,0,0,0,270550.0,20-29,336,0.9912380122057541,785.0
Canoas West,2024-01-27 08:14:27.928568064,1,0,0,0,0,237600.0,10-19,1238,1.024232633279483,785.0
Canoga Park,2024-01-27 08:14:27.928568064,1,0,0,0,0,229864.10256410256,20-29,726,1.0286695796655532,240.30769230769232
Canterbury Village,2024-01-27 08:14:27.928568064,0,1,0,0,0,184850.0,30-39,662,1.0421550792630385,67.0
Canyon Country,2024-01-27 08:14:27.928568064,1,0,0,0,0,208650.0,10-19,1488,1.0608045931616366,220.0
Canyon Creek Estates,2024-01-27 08:14:27.928568064,0,1,0,0,0,143800.0,0-9,369,1.1436314363143631,604.0
Canyon Crest,2024-01-27 08:14:27.928568064,0,1,0,0,0,199300.0,10-19,1050,0.8447474677547063,551.0
Canyon Heights - Vallejo Mills,2024-01-27 08:14:27.928568064,1,0,0,0,0,283500.0,10-19,559,1.0679785330948122,12.0
Capistrano Beach,2024-01-27 08:14:27.928568064,1,0,0,0,0,283580.0,20-29,520,1.0965656375134984,503.0
Capitol - Goss,2024-01-27 08:14:27.928568064,1,0,0,0,0,178600.0,30-39,645,1.1085271317829457,785.0
Cardiff,2024-01-27 08:14:27.928568064,0,0,0,0,1,265983.3333333333,10-19,550,1.0221639997312713,688.0
Carlsbad Village,2024-01-27 08:14:27.928568064,0,0,0,0,1,272475.25,20-29,556,1.235157051752048,691.0
Carlton,2024-01-27 08:14:27.928568064,1,0,0,0,0,300100.0,30-39,562,1.0476508700245668,785.0
Carmel Mountain Ranch,2024-01-27 08:14:27.928568064,1,0,0,0,0,246500.0,0-9,2895,1.1523316062176165,671.0
Carmel Point,2024-01-27 08:14:27.928568064,0,0,0,0,1,487100.0,30-39,384,1.5208333333333333,467.0
Carmel Valley,2024-01-27 08:14:27.928568064,0,0,0,0,1,334940.0,0-9,1385,1.1026177695387034,671.0
Carmel Woods,2024-01-27 08:14:27.928568064,0,0,0,0,1,394400.0,40-49,598,1.234113712374582,467.0
Carol Drive,2024-01-27 08:14:27.928568064,1,0,0,0,0,228000.0,10-19,553,1.027124773960217,785.0
Carollands,2024-01-27 08:14:27.928568064,0,0,0,0,1,500000.0,20-29,846,1.033096926713948,754.0
Carriage Square,2024-01-27 08:14:27.928568064,0,0,0,0,1,235400.0,30-39,447,1.0322057293342881,963.0
Carson Park,2024-01-27 08:14:27.928568064,1,0,0,0,0,224337.5,30-39,278,1.0267693206629025,275.0
Carvedale,2024-01-27 08:14:27.928568064,0,1,0,0,0,69700.0,30-39,287,1.0492603762745942,629.0
Casa Bella Park,2024-01-27 08:14:27.928568064,0,1,0,0,0,132950.0,30-39,362,1.0134471651499515,602.0
Casa Blanca,2024-01-27 08:14:27.928568064,0,1,0,0,0,99500.0,30-39,291,1.1107313843794024,551.0
Casa Bonita,2024-01-27 08:14:27.928568064,1,0,0,0,0,156580.0,20-29,475,1.0078752028148297,492.0
Casa De Santiago,2024-01-27 08:14:27.928568064,1,0,0,0,0,193133.33333333334,30-39,430,1.0457172912416555,492.0
Casa Grande,2024-01-27 08:14:27.928568064,0,1,0,0,0,299940.0,40-49,431,1.0029230587330473,261.0
Casa Loma,2024-01-27 08:14:27.928568064,0,1,0,0,0,55400.0,30-39,436,1.0965195937529941,196.0
Cascade,2024-01-27 08:14:27.928568064,0,1,0,0,0,70061.53846153847,20-29,429,1.0474604414314512,818.6923076923077
Castle Heights,2024-01-27 08:14:27.928568064,1,0,0,0,0,366800.25,20-29,650,1.0726306641544041,254.0
Castlemont,2024-01-27 08:14:27.928568064,0,0,0,1,0,150450.0,30-39,496,1.099741404425009,197.0
Castro City,2024-01-27 08:14:27.928568064,0,0,0,1,0,229100.0,20-29,526,1.008022265473842,789.0
Cataldi,2024-01-27 08:14:27.928568064,1,0,0,0,0,351600.0,10-19,280,0.9571428571428572,785.0
Catalina Villas,2024-01-27 08:14:27.928568064,1,0,0,0,0,148850.0,10-19,397,1.1118991978366504,261.0
Cedar Glen,2024-01-27 08:14:27.928568064,0,1,0,0,0,194500.0,20-29,330,3.4128292682926826,367.5
Cedarpines Park,2024-01-27 08:14:27.928568064,0,1,0,0,0,103300.0,20-29,113,2.327433628318584,658.0
Centennial,2024-01-27 08:14:27.928568064,0,0,0,0,1,241700.0,10-19,345,0.9536231884057971,758.0
Centerville,2024-01-27 08:14:27.928568064,0,0,0,1,0,243215.7894736842,20-29,884,1.0293563630639289,12.0
Central Berkeley,2024-01-27 08:14:27.928568064,0,0,0,1,0,196733.33333333334,40-49,398,1.0323443491673407,0.0
Central City,2024-01-27 08:14:27.928568064,1,0,0,0,0,158100.0,30-39,234,1.0892027009431862,492.0
Central Davis,2024-01-27 08:14:27.928568064,0,1,0,0,0,227766.66666666666,20-29,1049,1.012874492556151,974.0
Central District,2024-01-27 08:14:27.928568064,1,0,0,0,0,187825.0,20-29,702,1.092594305669391,12.0
Central Escondido,2024-01-27 08:14:27.928568064,1,0,0,0,0,153756.25,10-19,796,1.1145497810074678,699.0
Central LA,2024-01-27 08:14:27.928568064,1,0,0,0,0,308002.94861660077,30-39,598,1.0421973765015153,254.80632411067194
Central Portola Valley,2024-01-27 08:14:27.928568064,0,0,0,0,1,500000.0,20-29,559,1.033989266547406,764.0
Central San Jose,2024-01-27 08:14:27.928568064,1,0,0,0,0,218989.6551724138,40-49,410,1.053940951542547,785.0
Central San Mateo,2024-01-27 08:14:27.928568064,0,0,0,0,1,356241.8333333333,40-49,348,1.039960676987447,753.0
Central San Pedro,2024-01-27 08:14:27.928568064,0,0,0,0,1,194200.0,20-29,401,1.0502808567048847,254.0
Central Waterfront,2024-01-27 08:14:27.928568064,0,0,0,1,0,281166.6666666667,50-59,283,1.122412098515391,713.0
Century City,2024-01-27 08:14:27.928568064,1,0,0,0,0,500000.0,40-49,481,1.0563274578592061,254.0
Chabot Park,2024-01-27 08:14:27.928568064,0,0,0,1,0,279000.0,30-39,218,1.0607970372581328,1.0
Channel Islands,2024-01-27 08:14:27.928568064,0,0,0,0,1,500000.0,10-19,667,1.214392803598201,963.0
Chapmantown,2024-01-27 08:14:27.928568064,0,1,0,0,0,73050.0,30-39,538,1.102081658211005,28.0
Charter Oak,2024-01-27 08:14:27.928568064,1,0,0,0,0,211569.5652173913,20-29,603,1.016959932057693,285.8695652173913
Chatsworth,2024-01-27 08:14:27.928568064,1,0,0,0,0,308430.8461538461,10-19,1009,1.0435224261772995,240.30769230769232
Cherry - Guardino,2024-01-27 08:14:27.928568064,1,0,0,0,0,250800.0,10-19,1280,1.0105882378185376,12.0
Cheviot Hills,2024-01-27 08:14:27.928568064,1,0,0,0,0,500000.0,40-49,645,1.0310016761191436,254.0
Chevy Chase,2024-01-27 08:14:27.928568064,1,0,0,0,0,464400.3333333333,20-29,524,1.0283724323997252,260.0
Chollas View,2024-01-27 08:14:27.928568064,0,0,0,0,1,101550.0,20-29,656,1.1036264340719786,671.0
Churchill Downs,2024-01-27 08:14:27.928568064,0,1,0,0,0,144400.0,0-9,984,1.1504065040650406,595.0
Cimmeron,2024-01-27 08:14:27.928568064,0,1,0,0,0,79200.0,20-29,341,1.0909090909090908,629.0
Cirby Side,2024-01-27 08:14:27.928568064,0,1,0,0,0,267400.0,0-9,631,1.0649762282091917,530.0
Citrus Grove,2024-01-27 08:14:27.928568064,1,0,0,0,0,234340.0,20-29,884,1.0551947166741755,260.0
City Heights,2024-01-27 08:14:27.928568064,0,0,0,0,1,103216.21621621621,20-29,514,1.0790381492142438,671.0
Civic Center,2024-01-27 08:14:27.928568064,0,1,0,0,0,149440.1,30-39,448,1.1028806656318721,714.4
Clairemont,2024-01-27 08:14:27.928568064,0,0,0,0,1,203450.0,20-29,460,1.0142615399223707,671.0
Claremont,2024-01-27 08:14:27.928568064,0,0,0,1,0,412216.6666666667,40-49,419,1.0576062358373355,13.333333333333334
Claremont Hills,2024-01-27 08:14:27.928568064,0,0,0,1,0,500000.0,50-59,214,1.0514018691588785,0.0
Clarkdale,2024-01-27 08:14:27.928568064,1,0,0,0,0,355325.25,30-39,557,1.0541845246532864,269.0
Cleveland Heights,2024-01-27 08:14:27.928568064,0,0,0,1,0,266150.0,40-49,793,1.1024700029161265,1.0
Clover Field,2024-01-27 08:14:27.928568064,0,1,0,0,0,88300.0,20-29,420,0.9428571428571428,612.0
Coliseum,2024-01-27 08:14:27.928568064,0,0,0,1,0,83383.33333333333,40-49,278,1.0843175450596485,1.0
Coliseum Industrial,2024-01-27 08:14:27.928568064,0,0,0,1,0,80275.0,40-49,187,1.080217074945428,1.0
College Estates,2024-01-27 08:14:27.928568064,1,0,0,0,0,251800.0,30-39,743,0.9959623149394348,275.0
College Hills,2024-01-27 08:14:27.928568064,1,0,0,0,0,429100.0,30-39,547,1.0639853747714807,260.0
College Park,2024-01-27 08:14:27.928568064,1,0,0,0,0,249283.33333333334,30-39,701,1.1164034334012365,723.6666666666666
College Terrace,2024-01-27 08:14:27.928568064,0,0,0,1,0,404800.0,40-49,832,1.0084134615384615,763.0
College West,2024-01-27 08:14:27.928568064,0,0,0,0,1,180700.0,20-29,449,0.9535993898563113,671.0
Columbia,2024-01-27 08:14:27.928568064,0,1,0,0,0,116425.0,0-9,553,1.1261397150074781,815.0
